,A,lat,lon,B
0,AD,42.546245,1.601554,Andorra
1,AL,41.153332,20.168331,Albania
2,AT,47.516231,14.550072,Austria
3,BA,43.915886,17.679076,Bosnia and Herzegovina
4,BE,50.503887,4.469936,Belgium
5,BY,53.709807,27.953389,Belarus
6,CH,46.818188,8.227512,Switzerland
7,DE,51.165691,10.451526,Germany
8,DK,5.626392,9.501785,Denmark
9,EE,58.595272,25.013607,Estonia
10,FI,6.192411,25.748151,Finland
11,FR,46.227638,2.213749,France
12,GB,55.378051,-3.435973,United Kingdom
13,GL,71.706936,-42.604303,Greenland
14,GR,39.074208,21.824312,Greece
15,HT,18.971187,-72.285215,Haiti
16,IE,53.342686,-6.267118,Ireland
17,IM,54.236107,-4.548056,Isle of Man
18,IS,64.963051,-19.020835,Iceland
19,IT,4.187194,1.256738,Italy
20,LI,47.167500,9.510530,Liechtenstein
21,LT,55.169438,23.881275,Lithuania
22,LU,49.815273,6.129583,Luxembourg
23,LV,56.879635,24.603189,Latvia
24,MC,43.750298,7.412841,Monaco
25,MD,47.411631,28.369885,Moldova
26,ME,42.708678,1.937439,Montenegro
27,MK,41.608635,21.745275,Macedonia [FYROM]
28,MT,35.937496,14.375416,Malta
29,NL,52.132633,5.291266,Netherlands
30,NO,60.472024,8.468946,Norway
31,PL,51.919438,19.145136,Poland
32,PT,39.399872,-8.224454,Portugal
33,RO,45.943161,2.496676,Romania
34,RS,44.016521,21.005859,Serbia
35,SE,60.128161,18.643501,Sweden
36,SI,46.151241,14.995463,Slovenia
37,SK,48.669026,19.699024,Slovakia
38,UA,48.379433,3.116558,Ukraine
