,city,tweets,likes,lat,lon,radius
0,Barcelona,4,3688,41.3828939,2.1774322,70728.90580275591
1,Bonn,1,0,50.735851,7.10066,10000.0
2,Cádiz,1,0,36.5297438,-6.2928976,10000.0
3,Hania,1,0,35.5120831,24.0191544,10000.0
4,Jakarta,2,3812,-6.1753942,106.827183,71741.39616173253
5,Laval,5,420,48.0710377,-0.7723499,30493.901531919197
6,Marne,1,0,48.961264,4.31224359285714,10000.0
7,Paraíba,3,95901,-7.1219366,-36.7246845,319678.8659240407
8,Paris,5,1020,48.8566969,2.3514616,41937.43884534262
9,Vilnius,2,2,54.6870458,25.2829111,11414.213562373096
