media,twitter
BBC News ,BBCNews
Guardian,guardian
ORF News,ORFBreakingNews
Krone Zeitung,krone_at
Het Laatste Nieuws,HLN
Nova TV News,novatv_bg
BTV News,btv_official
24sata,24sata_HR
Jutarnji,Jutarnji
Seznam Zpravy,SeznamZpravy
iDNEScz,iDNEScz
DR News,DRNyheder
TV 2 News,tv2newsdk
Ilta-Sanomat,iltasanomat
Iltalehti,iltalehti_fi
20 Minutes,20Minutes
Le Monde,lemondefr
Der Spiegel,derspiegel
ARD Online News,ARD_Presse
Newsbomb,newsbombgr
Dikaiologitika,dikaiologitika
Index Hu,indexhu
Origo Hu,Origo_hu
RTÉ News,rtenews
The Journal,thejournal_ie
TGCom24,MediasetTgcom24
SkyTG24,SkyTG24
NU NL,NUnl
Algemeen Dagblad,ADnl
Onet,onetpl
Wirtualna (WP),wirtualnapolska
Notícias ao Minuto,noticiaaominuto
SAPO,sapo
Pro TV,ProTVro
Ziare,Ziare_com
Aktuality,Aktualitysk
Topsky,TopkySK
El País,el_pais
El Mundo,elmundoes
Aftonbladet,Aftonbladet
15 Min,15minlt
Irytas,lrytas_lt
Delfi,DelfiLV
TVnet,TVNET_zina
Äripäeva uudised,aripaev_ee
Rahvusringhääling,err_ee
Delo,Delo
RTV Slovenija,RTV_Slovenija
Cyprus Mail,cyprusmail
Εφημερίδα Πολίτης - Politis.com.cy,politis_news
Luxemburger Wort,Wort_LU
RTL Luxembourg,RTLlu
Times ,TheTimesofMalta
The Malta Independent,IndependentMlt
EURACTIV,EURACTIV
euronews,euronews
EUObserver,euobs
POLITICOEurope,POLITICOEurope
