city;country
Berlin;Germany
Madrid;Spain
Rome;Italy
Bucharest;Romania
Paris;France
Vienna;Austria
Hamburg;Germany
Warsaw;Poland
Budapest;Hungary
Barcelona;Spain
Munich;Germany
Milan;Italy
Prague;Czech Republic
Sofia;Bulgaria
Cologne;Germany
Stockholm;Sweden
Naples;Italy
Turin;Italy
Amsterdam;Netherlands
Marseille;France
Zagreb;Croatia
Copenhagen;Denmark
Valencia;Spain
Kraków;Poland
Frankfurt;Germany
Seville;Spain
?ód?;Poland
Zaragoza;Spain
Athens;Greece
Palermo;Italy
Helsinki;Finland
Rotterdam;Netherlands
Wroc?aw;Poland
Stuttgart;Germany
Riga;Latvia
Düsseldorf;Germany
Vilnius;Lithuania
Leipzig;Germany
Dortmund;Germany
Essen;Germany
Gothenburg;Sweden
Genoa;Italy
Málaga;Spain
Bremen;Germany
Dresden;Germany
Dublin;Ireland
The Hague;Netherlands
Hanover;Germany
Pozna?;Poland
Antwerp;Belgium
Nuremberg;Germany
Lyon;France
Lisbon;Portugal
Duisburg;Germany
Toulouse;France
Gda?sk;Poland
Murcia;Spain
Tallinn;Estonia
Bratislava;Slovakia
Palma de Mallorca;Spain
Szczecin;Poland
Bologna;Italy
Brno;Czech Republic
Ia?i;Romania
Florence;Italy
Las Palmas;Spain
Bochum;Germany
Utrecht;Netherlands
Wuppertal;Germany
Aarhus;Denmark
Bydgoszcz;Poland
Plovdiv;Bulgaria
Bilbao;Spain
Malmö;Sweden
Nice;France
Lublin;Poland
Varna;Bulgaria
Bielefeld;Germany
Alicante;Spain
Timi?oara;Romania
Bonn;Germany
Córdoba;Spain
Thessaloniki;Greece
Cluj-Napoca;Romania
Bari;Italy
Constan?a;Romania
Münster;Germany
Karlsruhe;Germany
Catania;Italy
Mannheim;Germany
Nantes;France
Craiova;Romania
Gala?i;Romania
